GameID,Winner,NumClients,AvgReactionTime,StdReactionTime,AvgRegistrationTime,StdRegistrationTime,SuccessRate
1,Player_157,239,66.9023543,212.4898057,359.8284519,242.8693535,95.6
1,Player_101,207,63.38131995,200.5582957,318.2222222,200.5133241,82.8
1,Player_218,77,154.1438356,323.5888495,312.1538462,602.0845642,30.8
1,Player_55,72,164.4109149,325.9282061,96.06944444,347.7097819,28.8
1,Player_114,111,71.73092926,226.1573832,278.9189189,552.2064038,44.4
1,Player_177,175,65.91035963,193.9523491,250.5340909,405.7055988,70
1,Player_192,70,170.2414508,361.8453721,285.9857143,630.789675,28
1,Player_91,111,59.27177472,213.6658859,71.89285714,242.6113646,44.4
1,Player_205,114,89.30068966,268.3132818,165.7280702,420.8890399,45.6
1,Player_114,109,133.33897,315.0900991,286.8073394,541.8248046,43.6
1,Player_3,16,772.6526946,943.8618589,861.25,1477.240142,3.2
1,Player_496,101,841.1178396,901.1754821,270.4059406,855.1597521,20.2
1,Player_379,224,682.0007468,505.1946844,973.4606742,545.1378458,44.8
1,Player_272,43,1405.793103,1046.636089,2041.365854,587.2517537,8.6
1,Player_185,213,315.7760051,678.1525536,523.342723,1014.948122,42.6
1,Player_462,21,1540.920245,1056.124232,2912.333333,475.7833974,4.2
1,Player_1,79,490.9482937,813.311397,395.775,1119.002737,15.8
1,Player_493,217,359.3245283,675.4163674,1058.036866,659.9924511,43.4
1,Player_459,134,380.9419729,566.4256525,953.8938053,637.9840534,26.8
1,Player_472,233,509.8327974,575.1514418,1118.964912,552.0830717,46.6
